table_name,table_type,business_key,descriptive_fields,source_table
AI_passenger,hub,PassengerID,,Airindia_AI_Passenger_Details
SJ_passenger,hub,PassengerID,,SpiceJet_AI_Passenger_Details
AI_flight,hub,FlightID,,Airindia_Flight_Details
SJ_flight,hub,FlightID,,SpiceJet_Flight_Details
AI_booking,hub,BookingID,,Airindia_Booking_Details
SJ_booking,hub,BookingID,,SpiceJet_Booking_Details
AI_payment,hub,PaymentID,,Airindia_Payment
SJ_payment,hub,PaymentID,,SpiceJet_Payment 
AI_airport,hub,AirportCode,,Airindia_AirPort_Details
SJ_airport,hub,AirportCode,,SpiceJet_AirPort_Details 
AI_passenger_booking_flight,link,PassengerID|BookingID|FlightID,,Airindia_Booking_Details
SJ_passenger_booking_flight,link,PassengerID|BookingID|FlightID,,SpiceJet_Booking_Details
AI_passenger_payment,link,PaymentID|BookingID,,Airindia_Payment
SJ_passenger_payment,link,PaymentID|BookingID,,SpiceJet_Payment
AI_passenger_satellite,satellite,PassengerID,FirstName|LastName|DOB|Email|CreatedDateTime|LastupdateDateTime,Airindia_AI_Passenger_Details
SJ_passenger_satellite,satellite,PassengerID,FirstName|LastName|DOB|Email|CreatedDateTime|LastupdateDateTime,SpiceJet_AI_Passenger_Details
AI_flight_satellite,satellite,FlightID,FlightNumber|ArrivalDateTime|ScheduledDepartureDateTime|ActualDepartureDateTime,Airindia_Flight_Details 
SJ_flight_satellite,satellite,FlightID,FlightNumber|ArrivalDateTime|ScheduledDepartureDateTime|ActualDepartureDateTime,SpiceJet_Flight_Details 
AI_payment_satellite,satellite,PaymentID,Amount,Airindia_Payment 
SJ_payment_satellite,satellite,PaymentID,Amount,Airindia_Payment 
AI_airport_satellite,satellite,AirportCode,AirportName,Airindia_AirPort_Details 
SJ_airport_satellite,satellite,AirportCode,AirportName,SpiceJet_AirPort_Details 

